QuestionNumber,UKPSFCategory,UKPSFCategoryName,UKPSFCode,QuestionText
1,AA,Areas of Activity,A1,The instructor provides students with a hard or soft copy of the course syllabus during the first week of the semester
2,CK,Core Knowledge,K1,The instructor is committed to the course syllabus and presents it in an organized manner to enable students for follow up
3,PV,Professional Values,V1,The instructor is keen to start and end lectures on time
4,PV,Professional Values,V2,The instructor is keen to follow on students' attendance
5,PV,Professional Values,V4,"The instructor is keen to inculcate students with values of virtue, morality and national loyalty"
6,PV,Professional Values,V1,"The instructor receives questions and suggestions from students, respect their viewpoints and encourages objectives criticism"
7,CK,Core Knowledge,K2,The instructor uses lecture time in a productive (effective) instruction
8,PV,Professional Values,V2,The instructor emphasizes fairness and avoids biases in dealing with students
9,CK,Core Knowledge,K2,"The instructor pays attention to the preparation of the tests with comprehensive questions, suitable to the test time, distribution of marks and fit students abilities"
10,AA,Areas of Activity,A3,"The instructor corrects exams, reports and homwork and hands them back to students"
11,AA,Areas of Activity,A3,The instructor reviews exams with students
12,CK,Core Knowledge,K4,The instructor uses information technology and communnication and learning resources in the learning/teaching processes in light of available resources
13,AA,Areas of Activity,A4,The instructor is keen to create comfortable classroom environment during lectures and exams
14,AA,Areas of Activity,A2,The instructor is committed to student's appointments (office hours) and gives them enough time
15,PV,Professional Values,V1,"The instructor is considerate to common atmosphere in terms of general appearance, using language, and acting in accordance with academic norms"
16,CK,Core Knowledge,K3,The instructor always encourages and stimulates students to enhance learning and motivation
17,CK,Core Knowledge,K2,The instructor enriches class discussions and increases students interest in the course
18,CK,Core Knowledge,K1,The instructor shows knowledge of course materials and subjects
19,PV,Professional Values,V3,"The instructor assigns homework, reading, and research activities and expects students to accomplish them using library and e-resources"
20,PV,Professional Values,V1,The instructor treats students in a friendly and respectful manner and stands out as a good example for them
